MES;TOTAL TON reciclados;TOTAL TON comunes;Ton CO2 eq residuos reciclados;Ton CO2 eq residuos comunes;AÑO;TOTAL TON reciclados;TOTAL TON comunes;Ton CO2 eq residuos reciclados;Ton CO2 eq residuos comunes;AÑO;TOTAL TON reciclados;TOTAL TON comunes;Ton CO2 eq residuos reciclados;Ton CO2 eq residuos comunes
ENERO;204,98;13622,50;592,42;10516,57;2019;4157,71;227075,30;12016,50;175302,13;2019;4157,709;227075,3;12016,5;175302,1316
FEBRERO ;397,14;23643,25;1147,80;18252,59;;;;;;2020;4134,81;232370,37;11950,31792;179389,9256
MARZO;358,81;20693,92;1037,02;15975,71;;;;;;2021;4764,93;237947,702;13771,47399;183695,6259
ABRIL;365,11;19857,44;1055,23;15329,94;;;;;;2022;5043,85;225894,151;14577,60116;174390,2846
MAYO;369,20;19851,46;1067,05;15325,33;;;;;;2023;8156,19;168320,55;23572,80347;129943,4646
JUNIO;343,67;18440,06;993,27;14235,73;;;;;;;;;;
JULIO;371,15;18907,34;1072,69;14596,47;;;;;;;;;;
AGOSTO;354,67;17852,12;1025,06;13781,84;;;;;;;;;;
SEPTIEMBRE;348,69;16904,30;1007,77;13050,12;;;;;;;;;;
OCTUBRE;387,02;19461,99;1118,55;15024,66;;;;;;;;;;
NOVIEMBRE;287,06;15759,02;829,65;12165,96;;;;;;;;;;
DICIEMBRE;370,21;22081,90;1069,97;17047,23;;;;;;;;;;
ENERO;423,02;22424,43;1222,60;17311,66;2020;4134,81;232370,37;11950,32;179389,93;;;;;
FEBRERO;385,60;21534,84;1114,45;16624,90;;;;;;;;;;
MARZO;392,07;22018,55;1133,15;16998,32;;;;;;;;;;
ABRIL;245,11;17765,26;708,41;13714,78;;;;;;;;;;
MAYO;287,76;17693,51;831,68;13659,39;;;;;;;;;;
JUNIO;321,36;18615,24;928,79;14370,97;;;;;;;;;;
JULIO;318,42;17952,35;920,29;13859,21;;;;;;;;;;
AGOSTO;292,06;16657,79;844,10;12859,81;;;;;;;;;;
SEPTIEMBRE;343,76;18125,09;993,53;13992,57;;;;;;;;;;
OCTUBRE;376,22;18894,04;1087,34;14586,20;;;;;;;;;;
NOVIEMBRE;354,10;19052,86;1023,41;14708,81;;;;;;;;;;
DICIEMBRE;395,33;21636,41;1142,57;16703,31;;;;;;;;;;
ENERO;385,10;21512,55;1113,01;16607,69;2021;4764,93;237947,70;13771,47;183695,63;;;;;
FEBRERO;348,65;18826,73;1007,66;14534,24;;;;;;;;;;
MARZO;434,58;21313,90;1256,01;16454,33;;;;;;;;;;
ABRIL;360,25;17958,17;1041,18;13863,71;;;;;;;;;;
MAYO;357,63;21292,33;1033,61;16437,68;;;;;;;;;;
JUNIO;462,37;19058,69;1336,33;14713,31;;;;;;;;;;
JULIO;458,57;19759,73;1325,35;15254,51;;;;;;;;;;
AGOSTO;398,99;19358,30;1153,15;14944,61;;;;;;;;;;
SEPTIEMBRE;383,34;18102,29;1107,92;13974,97;;;;;;;;;;
OCTUBRE;406,52;19103,87;1174,91;14748,19;;;;;;;;;;
NOVIEMBRE;403,73;19356,40;1166,85;14943,14;;;;;;;;;;
DICIEMBRE;365,20;22304,74;1055,49;17219,26;;;;;;;;;;
ENERO;241,61;21526,70;698,29;16618,62;2022;5043,85;225894,15;14577,60;174390,28;;;;;
FEBRERO;248,61;19525,62;718,53;15073,78;;;;;;;;;;
MARZO;330,30;21394,64;954,62;16516,66;;;;;;;;;;
ABRIL;381,24;19714,00;1101,85;15219,21;;;;;;;;;;
MAYO;404,60;19583,32;1169,36;15118,32;;;;;;;;;;
JUNIO;437,37;18355,97;1264,08;14170,81;;;;;;;;;;
JULIO;308,23;15656,70;890,84;12086,97;;;;;;;;;;
AGOSTO;522,62;18868,39;1510,46;14566,40;;;;;;;;;;
SEPTIEMBRE;532,27;18249,15;1538,35;14088,34;;;;;;;;;;
OCTUBRE;576,50;18634,29;1666,18;14385,67;;;;;;;;;;
NOVIEMBRE;383,15;13330,80;1107,37;10291,38;;;;;;;;;;
DICIEMBRE;677,35;21054,57;1957,66;16254,13;;;;;;;;;;
ENERO;795,59;20730,42;2299,39;16003,88;2023;8156,19;168320,55;23572,80;129943,46;;;;;
FEBRERO;886,31;18614,39;2561,59;14370,31;;;;;;;;;;
MARZO;1143,90;19887,92;3306,07;15353,47;;;;;;;;;;
ABRIL;853,87;18701,43;2467,83;14437,50;;;;;;;;;;
MAYO;928,34;19163,01;2683,06;14793,84;;;;;;;;;;
JUNIO;821,71;17734,18;2374,88;13690,79;;;;;;;;;;
JULIO;885,41;18105,66;2558,99;13977,57;;;;;;;;;;
AGOSTO;788,40;17674,37;2278,61;13644,61;;;;;;;;;;
SEPTIEMBRE;1052,66;17709,17;3042,37;13671,48;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
