Mes;Toneladas;;AÑO;RESIDUO ANUAL;;;;;;;;;;;;;;;;;;
1;15288,1;Enero ;2005;157526,26;;;;;;;;;;;;;;;;;;
2;13247,3;Febrero;;;;;;;;;;;AÑO;RESIDUO ANUAL;;;;;;;;
3;14326,6;Marzo;;;;;;;;;;;2005;157526,26;;;;;;;;
4;13327,75;Abril;;;;;;;;;;;2006;169665,7118;;;;;;;;
5;12810,04;Mayo;;;;;;;;;;;2007;168205;;;;;;;;
6;11130,03;Junio;;;;;;;;;;;2008;164848,855;;;;;;;;
7;12716,12;Julio;;;;;;;;;;;2009;168284,78;;;;;;;;
8;12302,11;Agosto;;;;;;;;;;;2010;177817,08;;;;;;;;
9;12104,87;Septiembre;;;;;;;;;;;2011;177629,081;;;;;;;;
10;12507,88;Octubre;;;;;;;;;;;2012;181266,82;;;;;;;;
11;13017,59;Noviembre;;;;;;;;;;;2013;186378,13;;;;;;;;
12;14747,87;Diciembre;;;;;;;;;;;2014;187649,5478;;;;;;;;
13;15396,15;Enero;2006;169665,7118;;;;;;;;;2015;206307,8;;;;;;;;
14;12989,21;Febrero;;;;;;;;;;;2016;212554,33;;;;;;;;
15;14675,32;Marzo;;;;;;;;;;;2017;224433,426;;;;;;;;
16;13001,31;Abril;;;;;;;;;;;2018;236370,09;;;;;;;;
17;13331,22;Mayo;;;;;;;;;;;2019;230674,35;;;;;;;;
18;12771,62;Junio;;;;;;;;;;;2020;234939,2;;;;;;;;
19;12679,95;Julio;;;;;;;;;;;2021;241199,2675;;;;;;;;
20;13018,55;Agosto;;;;;;;;;;;2022;273771,3388;;;;;;;;
21;12755,22;Septiembre;;;;;;;;;;;2023;257422,0643;;;;;;;;
22;15321,86183;Octubre;;;;;;;;;;;2024;286428,988;;;;;;;;
23;15815,46;Noviembre;;;;;;;;;;;2025;332866,3874;;;;;;;;
24;17909,84;Diciembre;;;;;;;;;;;2026;371294,7106;;;;;;;;
25;16054,47;Enero;2007;168205;;;;;;;;;2027;389759,4571;;;;;;;;
26;14016,04;Febrero;;;;;;;;;;;;;;;;;;;;
27;14468,9;Marzo;;;;;;;;;;;;;;;;;;;;
28;13951,31;Abril;;;;;;;;;;;;;;;;;;;;
29;14533,15;Mayo;;;;;;;;;;;;;;;;;;;;
30;13514,87;Junio;;;;;;;;;;;;;;;;;;;;
31;13025,5;Julio;;;;;;;;;;;;;;;;;;;;
32;12944,75;Agosto;;;FUENTE: INSTITUTO NACIONAL DE ESTADISTICA;;;;;;;;;;FUENTE: INSTITUTO NACIONAL DE ESTADISTICA;;;;;;;
33;12919,36;Septiembre;;;;;;;;;;;;;;;;;;;;
34;13802,04;Octubre;;;;;;;;;;;;;;;;;;;;
35;13619,29;Noviembre;;;;;;;;;;;;;;;;;;;;
36;15355,32;Diciembre;;;;;;;;;;;;;;;;;;;;
37;15562,9;Enero;2008;164848,855;;;;;;;;;;;;;;;;;;
38;13625,09;Febrero;;;;;;;;;;;;;;;;;;;;
39;13939,14;Marzo;;;;;;;;;;;;;;;;;;;;
40;13538,17;Abril;;;;;;;;;;;;;;;;;;;;
41;13824,54;Mayo;;;;;;;;;;;;;;;;;;;;
42;13429,4;Junio;;;;;;;;;;;;;;;;;;;;
43;13414,81;Julio;;;;;;;;;;;;;;;;;;;;
44;13048,88;Agosto;;;;;;;;;;;;;;;;;;;;
45;13293,72;Septiembre;;;;;;;;;;;;;;;;;;;;
46;13403,45;Octubre;;;;;;;;;;;;;;;;;;;;
47;12600,785;Noviembre;;;;;;;;;;;;;;;;;;;;
48;15167,97;Diciembre;;;;;;;;;;;;;;;;;;;;
49;15160,52;Enero;2009;168284,78;;;;;;;;;;;;;;;;;;
50;13451,09;Febrero;;;;;;;;;;;;;;;;;;;;
51;14757,68;Marzo;;;;;;;;;;;;;;;;;;;;
52;13808,7;Abril;;;;;;;;;;;;;;;;;;;;
53;13551,17;Mayo;;;;;;;;;;;;;;;;;;;;
54;13416,72;Junio;;;;;;;;;;;;;;;;;;;;
55;13495,79;Julio;;;;;;;;;;;;;;;;;;;;
56;12970,79;Agosto;;;;;;;;;;;;;;;;;;;;
57;12984,9;Septiembre;;;;;;;;;;;;;;;;;;;;
58;14039,76;Octubre;;;;;;;;;;;;;;;;;;;;
59;13995,76;Noviembre;;;;;;;;;;;;;;;;;;;;
60;16651,9;Diciembre;;;;;;;;;;;;;;;;;;;;
61;16728,52;Enero;2010;177817,08;;;;;;;;;;;;;;;;;;
62;15488,41;Febrero;;;;;;;;;;;;;;;;;;;;
63;16478,51;Marzo;;;;;;;;;;;;;;;;;;;;
64;14866,61;Abril;;;;;;;;;;;;;;;;;;;;
65;14774,81;Mayo;;;;;;;;;;;;;;;;;;;;
66;14386,02;Junio;;;;;;;;;;;;;;;;;;;;
67;14105,68;Julio;;;;;;;;;;;;;;;;;;;;
68;13929,39;Agosto;;;;;;;;;;;;;;;;;;;;
69;13355,92;Septiembre;;;;;;;;;;;;;;;;;;;;
70;13774,22;Octubre;;;;;;;;;;;;;;;;;;;;
71;14078,42;Noviembre;;;;;;;;;;;;;;;;;;;;
72;15850,57;Diciembre;;;;;;;;;;;;;;;;;;;;
