Mes,Toneladas
225,19883.87666
226,20737.38337
227,21346.488
228,20913.46025
229,21293.83326
230,20977.01788
231,20354.7287
232,22701.26343
233,21109.50232
234,25594.03181
235,27085.63566
236,27297.59932
237,27791.26167
238,26181.64778
239,25129.00591
240,25152.28033
241,24985.59475
242,24630.04351
243,26133.83532
244,27767.41266
245,28426.17273
246,29657.71437
247,29856.2789
248,29039.77156
249,29482.09286
250,28453.21894
251,29281.97145
252,28926.67532
253,29058.55894
254,29595.92581
255,29209.65672
256,29698.40288
257,30130.67961
258,31550.48609
259,32705.94835
260,32443.52102
261,32889.52112
262,32645.71905
263,32439.61573
264,31926.67484
265,32047.0643
266,31976.59016
267,31760.44226
268,31918.54715
269,32302.90413
270,33276.8774
271,33491.01305
272,32855.27468
273,33011.65819
274,32616.12892
275,32576.28202
276,31989.0213
277,31878.60489
278,31639.03952
279,31279.74749
