GESTION,MES,COMUNES_KG,PAPEL_Y_CARTON_KG,VIDRIO_KG,METAL_KG,PLASTICOS_KG,PATOGENOS_KG,PODA_KG,ORGANICO_KG,DIFERENCIADO_PARTICULAR_KG,PAPEL_PLASTICO_KG,TOTAL_KG,MALLASA_KG,TOTAL_GLOBAL_SAKA_CHURU_MALLASA_KG,TOTAL_TM,TOTAL_TON_reciclados,TOTAL_TON_comunes,Ton_CO2_eq_residuos_reciclados,Ton_CO2_eq_residuos_comunes
2019,ENERO,13622500.00,4880.00,2669.00,130.00,2270.00,140900.00,54130.00,,,,13827479.00,,,13827.48,204.98,13622.50,592.42,10516.57
2019,FEBRERO ,23643250.00,11980.00,4080.00,920.00,5960.00,235130.00,139070.00,,,,24040390.00,,,24040.39,397.14,23643.25,1147.80,18252.59
2019,MARZO,20693920.00,9230.00,3120.00,380.00,4230.00,215890.00,125960.00,,,,21052730.00,,,21052.73,358.81,20693.92,1037.02,15975.71
2019,ABRIL,19857440.00,7390.00,3680.00,370.00,4240.00,222200.00,127230.00,,,,20222550.00,,,20222.55,365.11,19857.44,1055.23,15329.94
2019,MAYO,19851460.00,7590.00,2830.00,230.00,5080.00,233200.00,120270.00,,,,20220660.00,,,20220.66,369.20,19851.46,1067.05,15325.33
2019,JUNIO,18440060.00,5270.00,3230.00,210.00,3590.00,211140.00,120230.00,,,,18783730.00,,,18783.73,343.67,18440.06,993.27,14235.73
2019,JULIO,18907340.00,6250.00,3890.00,1100.00,4850.00,214060.00,141000.00,,,,19278490.00,,,19278.49,371.15,18907.34,1072.69,14596.47
2019,AGOSTO,17852120.00,8300.00,4640.00,430.00,4420.00,208790.00,128090.00,,,,18206790.00,,,18206.79,354.67,17852.12,1025.06,13781.84
2019,SEPTIEMBRE,16904300.00,7600.00,5070.00,430.00,4940.00,196310.00,134340.00,,,,17252990.00,,,17252.99,348.69,16904.30,1007.77,13050.12
2019,OCTUBRE,19461990.00,4400.00,2860.00,330.00,4960.00,239420.00,135050.00,,,,19849010.00,,,19849.01,387.02,19461.99,1118.55,15024.66
2019,NOVIEMBRE,15759020.00,5650.00,1570.00,130.00,3770.00,204270.00,71670.00,,,,16046080.00,,,16046.08,287.06,15759.02,829.65,12165.96
2019,DICIEMBRE,22081900.00,10150.00,5500.00,490.00,4770.00,216380.00,132920.00,,,,22452110.00,,,22452.11,370.21,22081.90,1069.97,17047.23
2020,ENERO,22424430.00,16330.00,5460.00,650.00,9980.00,241700.00,148900.00,,,,22847450.00,,,22847.45,423.02,22424.43,1222.60,17311.66
2020,FEBRERO ,21534840.00,10870.00,5460.00,530.00,6490.00,224620.00,137630.00,,,,21920440.00,,,21920.44,385.60,21534.84,1114.45,16624.90
2020,MARZO,22018550.00,9570.00,7140.00,680.00,6300.00,223890.00,144490.00,,,,22410620.00,,,22410.62,392.07,22018.55,1133.15,16998.32
2020,ABRIL,17765260.00,5430.00,1550.00,260.00,4630.00,179850.00,53390.00,,,,18010370.00,,,18010.37,245.11,17765.26,708.41,13714.78
2020,MAYO,17693510.00,0.00,2310.00,340.00,5460.00,208330.00,71320.00,,,,17981270.00,,,17981.27,287.76,17693.51,831.68,13659.39
2020,JUNIO,18615240.00,0.00,4870.00,530.00,5010.00,201180.00,109770.00,,,,18936600.00,,,18936.60,321.36,18615.24,928.79,14370.97
2020,JULIO,17952350.00,0.00,3170.00,470.00,5510.00,218280.00,90990.00,,,,18270770.00,,,18270.77,318.42,17952.35,920.29,13859.21
2020,AGOSTO,16657790.00,0.00,4260.00,350.00,3490.00,206110.00,77850.00,,,,16949850.00,,,16949.85,292.06,16657.79,844.10,12859.81
2020,SEPTIEMBRE,18125090.00,0.00,4110.00,410.00,5330.00,218840.00,115070.00,,,,18468850.00,,,18468.85,343.76,18125.09,993.53,13992.57
